伙伴名称,归属销售,周期起始日期,周期结束日期,本周新签客户数,本周回款金额,本周有效商机数,周活跃度,上周新签客户数,上周回款金额,上周有效商机数,上周活跃度,月度KPI目标新签,月度KPI目标回款(元),季度KPI目标新签,季度KPI目标回款(元),累计新签,累计回款(元)
伙伴A科技公司,张三,2026-04-24,2026-04-30,5,150000,8,活跃,,,,,20,600000,60,1800000,5,150000
伙伴B信息技术,李四,2026-04-24,2026-04-30,0,0,0,不活跃,,,,,15,450000,45,1350000,0,0
伙伴C软件公司,王五,2026-04-24,2026-04-30,3,50000,4,活跃,,,,,18,540000,54,1620000,3,50000
伙伴D网络科技,赵六,2026-04-24,2026-04-30,8,250000,12,非常活跃,,,,,25,750000,75,2250000,8,250000
伙伴E数据服务,张三,2026-04-24,2026-04-30,3,45000,4,一般,,,,,16,480000,48,1440000,3,45000
伙伴F云计算,李四,2026-04-24,2026-04-30,1,18000,2,一般,,,,,16,480000,48,1440000,1,18000
伙伴G人工智能,王五,2026-04-24,2026-04-30,0,0,0,不活跃,,,,,20,600000,60,1800000,0,0
伙伴H企业服务,赵六,2026-04-24,2026-04-30,10,320000,15,非常活跃,,,,,30,900000,90,2700000,10,320000
伙伴I信息安全,张三,2026-04-24,2026-04-30,5,95000,6,活跃,,,,,18,540000,54,1620000,5,95000
伙伴J物联网,李四,2026-04-24,2026-04-30,0,0,0,不活跃,,,,,14,420000,42,1260000,0,0
伙伴K智能硬件,王五,2026-04-24,2026-04-30,0,0,0,不活跃,,,,,15,450000,45,1350000,0,0
伙伴L大数据平台,赵六,2026-04-24,2026-04-30,6,180000,9,活跃,,,,,22,660000,66,1980000,6,180000
伙伴M移动开发团队,张三,2026-04-24,2026-04-30,4,50000,5,活跃,,,,,18,540000,54,1620000,4,50000
伙伴N数字营销,李四,2026-04-24,2026-04-30,4,110000,6,活跃,,,,,20,600000,60,1800000,4,110000
伙伴O系统集成,王五,2026-04-24,2026-04-30,0,0,1,不活跃,,,,,16,480000,48,1440000,0,0
伙伴P新媒体,赵六,2026-04-24,2026-04-30,2,35000,3,一般,,,,,14,420000,42,1260000,2,35000
伙伴Q教育科技,张三,2026-04-24,2026-04-30,0,0,0,不活跃,,,,,12,360000,36,1080000,0,0
伙伴R金融科技,李四,2026-04-24,2026-04-30,0,0,0,不活跃,,,,,18,540000,54,1620000,0,0
伙伴S电商服务,王五,2026-04-24,2026-04-30,0,0,1,一般,,,,,16,480000,48,1440000,0,0
伙伴T物流科技,赵六,2026-04-24,2026-04-30,4,60000,5,活跃,,,,,20,600000,60,1800000,4,60000
